Galaxy Type N_GC N_GC_err Mdyn MBH sig_e err_sig_e A_V MV_T err_MV_T MK Re upMBH lowMBH
ESO-118-034    S0                 3              2          NA             NA             NA             NA             0.043          -17.45         0.20           -20.517        0.50           NA             NA            
NGC1700        E               1320            270          11.322         NA             238.5           4.2           0.142          -22.14         0.20           -25.157        3.97           NA             NA            
UGC-3274       Irr             6870           1970          NA             NA             195.2          10.7           0.459          -21.10         0.20           -25.549        nd             NA             NA            
CGCG421-019    E               6850           2100          NA             NA             311.6          17.6           0.522          -22.30         0.20           -25.687        nd             NA             NA            
LMC            Irr               16              5          NA             NA             NA             NA             0.206          -18.36         0.20           nd             nd             NA             NA            
ESO-306-017    E              11577           1046          12.404         NA             269.9          13.1           0.108          -23.70         0.20           -26.430        37.39          NA             NA            
NGC2082        S                 27             17          NA             NA             NA             NA             0.192          -19.38         0.21           -21.912        2.23           NA             NA            
NGC2329        E               2120            780          11.662          0.00          239.9           4.7           0.236          -22.41         0.29           -25.246        8.58           8.36           0.00          
UGC-3755       Irr                9              3          NA             NA             NA             NA             0.244          -15.50         0.20           nd             0.86           NA             NA            
ESO-059-01     Irr                1              1          NA             NA             NA             NA             0.402          -14.60         0.20           nd             1.06           NA             NA            
NGC2434        E                143             40          10.972         NA             186.9           6.8           0.821          -21.23         0.35           -23.873        2.89           NA             NA            
UGC-3974       Irr                4              2          NA             NA             NA             NA             0.092          -15.33         0.20           nd             nd             NA             NA            
UGC-4115       Irr                5              2          NA             NA             NA             NA             0.077          -15.12         0.20           nd             1.01           NA             NA            
UGC-4289       E               2690            740          11.762         NA             245.2           7.3           0.161          -22.46         0.26           -25.540        10.33          NA             NA            
DDO-52         Irr                2              2          NA             NA             NA             NA             0.100          -14.98         0.20           nd             1.50           NA             NA            
KK-197         Irr                3              2          NA             NA             NA             NA             0.466          -13.04         0.20           -16.482        nd             NA             NA            
NGC2683        S                120             40          10.429         NA             117.5           9.0           0.109          -19.80         0.46           -23.125        2.09           NA             NA            
NGC2758        S                 99             32          NA             NA             NA             NA             0.346          -20.57         0.20           -21.147        2.66           NA             NA            
A754-1         E              16400           4800          12.569         NA             346.0           9.8           0.172          -24.19         0.20           -26.531        33.24          NA             NA            
A754-2         S               4600            800          NA             NA             NA             NA             0.170          -22.10         0.20           -24.611        nd             NA             NA            
NGC2768        E                720            240          11.317         NA             181.1           3.7           0.147          -22.03         0.36           -24.769        6.80           NA             NA            
NGC2778        E                 50             30          10.698          7.15          175.0           8.0           0.069          -19.45         0.36           -22.294        1.75           0.30           0.30          
NGC2832        E               4400           1000          12.121          0.00          334.0           7.4           0.060          -23.25         0.20           -26.368        12.73          9.95           0.00          
NGC2865        E                712            108          10.858         NA             171.6           3.5           0.270          -21.50         0.26           -24.461        2.63           NA             NA            
ESO-498-005    S                 58             12          NA             NA             NA             NA             0.108          -19.70         0.20           -22.322        3.77           NA             NA            
NGC2915        S              NA                 0          NA             NA             NA             NA             0.753          -16.12         0.20           -18.298        0.31           NA             NA            
NGC2902        S0                35             20          NA             NA             NA             NA             0.217          -20.62         0.31           -23.531        2.48           NA             NA            
NGC3056        S0                23             10           9.700         NA              74.5           3.1           0.296          -19.06         0.41           -21.824        0.97           NA             NA            
NGC3031        S                300            100          10.812          7.84          143.0           7.0           0.266          -21.08         0.20           -23.949        3.41           0.11           0.06          
NGC3073        E                130             20           9.272         NA              34.8           3.9           0.033          -19.27         1.44           -21.840        1.66           NA             NA            
ESO-499-037    S                 14             11          NA             NA             NA             NA             0.205          -19.15         0.20           -18.474        3.61           NA             NA            
NGC3115        S0               550             80          10.871          8.96          230.0          11.0           0.157          -21.19         0.20           -24.134        1.51           0.19           0.15          
NGC3115DW1     E                 60             20           9.291         NA              29.0          10.0           0.174          -17.64         0.20           -19.987        2.50           NA             NA            
IKN            E                  5              2          NA             NA             NA             NA             0.168          -11.51         0.20           nd             nd             NA             NA            
NGC3156        S0               115             15          10.005         NA              83.5           6.8           0.113          -19.56         0.27           -22.214        1.56           NA             NA            
CGCG065-015    E               2160            780          11.219         NA             272.2          13.1           0.111          -22.30         0.20           -25.698        2.40           NA             NA            
NGC3226        E                470            200          11.136         NA             193.5           5.1           0.075          -20.53         0.46           -23.298        3.93           NA             NA            
IC613          E               1330            440          11.041         NA             261.9           5.9           0.085          -21.85         0.20           -25.108        1.72           NA             NA            
NGC3258        E               6000            150          11.518         NA             276.1           9.4           0.279          -21.33         0.33           -24.254        4.65           NA             NA            
NGC3268        E               4750            150          11.424         NA             223.5          30.2           0.341          -21.60         0.34           -24.594        5.71           NA             NA            
NGC3259        S                 29             16          NA             NA             NA             NA             0.040          -20.35         0.30           -21.838        2.12           NA             NA            
NGC3311        E              16500           2000          11.781         NA             185.2           7.0           0.263          -21.84         0.20           -25.156        18.91          NA             NA            
NGC3348        E               3100           1000          11.444         NA             238.4          10.0           0.245          -22.19         0.31           -25.152        5.26           NA             NA            
NGC3377        E                191             15          10.557          8.25          145.0           7.0           0.113          -19.95         0.20           -22.786        1.84           0.19           0.29          
NGC3379        E                216             42          10.849          8.04          206.0          10.0           0.081          -20.90         0.20           -23.782        1.79           0.22           0.26          
NGC3384        S0               120             30          10.426          7.04          143.0           7.0           0.088          -20.49         0.20           -23.427        1.40           0.16           0.26          
LGC-0050       E                  8              4          NA             NA             NA             NA             0.070          -14.13         0.20           nd             nd             NA             NA            
NGC3414        S0               400            200          11.122          8.40          236.8           7.5           0.081          -21.10         0.42           -24.037        2.54           0.06           0.08          
NGC3455        S                 27             14          NA             NA             NA             NA             0.091          -17.86         0.20           -21.192        nd             NA             NA            
NGC3489        S0               100             50          10.082         NA             104.5           2.3           0.055          -20.18         0.20           -23.046        1.19           NA             NA            
UGC-6203       E               4880           1400          NA             NA             268.3           7.1           0.049          -22.10         0.20           -26.072        nd             NA             NA            
NGC3557        E               1075            740          11.703         NA             267.7           8.3           0.327          -23.25         0.29           -26.132        7.56           NA             NA            
NGC3550        S0              6600           1650          NA             NA             192.1           6.7           0.074          -22.80         0.30           -25.968        nd             NA             NA            
NGC3556        S                290             80          NA             NA             NA             NA             0.057          -20.50         0.20           -23.436        5.98           NA             NA            
NGC3585        E                300            100          11.256          8.51          213.0          10.0           0.212          -21.81         0.23           -24.952        4.27           0.15           0.13          
NGC3599        S0                29             10           9.996         NA              67.3           4.4           0.068          -19.66         0.33           -22.276        2.35           NA             NA            
NGC3607        S0               600            200          11.310          8.15          229.0          11.0           0.069          -21.50         0.20           -24.519        4.18           0.10           0.15          
NGC3608        E                450            200          11.062          8.67          182.0           9.0           0.069          -21.11         0.20           -23.720        3.74           0.09           0.10          
NGC3610        E                400            150          10.806         NA             162.0           4.6           0.033          -22.02         0.27           -24.822        2.62           NA             NA            
IC712          E               3470            910          11.522         NA             345.3          13.8           0.045          -22.68         0.20           -25.945        3.00           NA             NA            
NGC3818        E                590             40          11.150         NA             194.8           4.7           0.118          -21.21         0.88           -23.946        4.00           NA             NA            
NGC3842        E              12000           3000          12.205          9.99          315.0           8.0           0.071          -23.14         0.20           -25.812        17.38          0.12           0.13          
NGC3870        S0                13              5           8.558         NA              27.6           5.7           0.052          -17.68         0.27           -19.853        0.51           NA             NA            
NGC3923        E               2800            300          11.601         NA             256.6           6.3           0.275          -22.28         0.54           -25.330        6.51           NA             NA            
NGC4013        S                190             40          NA             NA             NA             NA             0.055          -20.07         0.31           -23.617        4.80           NA             NA            
